company_name,percent
InvestMark Mortgage,100
InvestiNet LLC,100
Investigation & Recovery Assoc. LLC,20
"Investigative Concepts, Inc.",0
Investment Evolution Corporation,33.33
"Investment Management Company, LLC",100
"Investment Retrievers, Inc.",95.199999999999989
"Invicta Mortgage Group, Inc.",100
"Io, Inc.",92.91
Iron Capital Group,50
"Irongate Home Finance, LLC",100
Isla Repossesions & Collection Inc,50
Island Finance Puerto Rico,96.43
"Island Portfolios Services, LLC",100
"Island Title Services, Inc.",0
Ivy Street Development Corp.,50
"J & B Endeavors, LLC",84.61999999999999
"J & C Auto Sales of Collier County, LLC",100
"J & K Financial Services, LLC",0
"J J Marshall & Associates, Inc",97.94
J Martinez Investments LLC,0
J Northland Group,50
"J R Brothers Financial, Inc.(Closed)",78.57
"J&D Recovery, Inc.",33.33
"J&H Systems, LLC",100
J&J Financial Services LLC,0
J&L Collection Services,96.55
J. B. Collections,100
"J. J. WALKER & ASSOCIATES, LLC",100
J. Mark Heldenbrand PC,75
J. Ritter Law P.C.,100
J. Scott Watson,20
"J.S Resolution Group, Inc.",71.15
"JACKSON & McPHERSON, LLC",100
"JAMES A. MOUNGER, PLC",50
JAMES B. NUTTER & COMPANY,98.32
"JAMS-01, Inc",100
"JAN (LendUSA) Holdings, Inc.",50
JAYANDBEE INC /dba/ HOOSIER ACCOUNTS SERVICE,100
"JBS Finance, Inc.",33.33
JBrucker Advisors,100
"JDJ Investments, INC.",90.77
JFK FINANCIAL INC.,100
"JFQ Lending, LLC",88.37
"JH Portfolio Debt Equities, LLC",96.61999999999999
"JKS Mortgage, LLC",0
JL Management LLC dba Advance Finance & Tax Service,100
JLB CORPORATION,90.91
JLM R.E. INVESTMENTS,0
JLU Asset Management Group LTD,0
JMAC LENDING INCORPORATED,94.44
JMBM Investments And LRAR Investments,100
"JMD,LLC",97.83
"JMS Associates, Inc.",75
"JNR Adjustment Company, Inc",100
"JOHN GIBSON AUTO SALES, INC.",100
"JOHNSON MORTGAGE COMPANY, LLC",100
JOSEPH R. HARRISON CO. LPA,50
"JP Development, Inc.",100
"JP Jensen Collections, LLC",100
"JP RECOVERY SERVICES, INC.",95.789999999999992
JPL Recovery LLC,100
JPL Recovery Solutions,0
JPMORGAN CHASE & CO.,99.9
JPay Inc.,100
"JSZ Financial Co., Inc.",100
"JTM Capital Management, LLC",79.34
JUMBO LOAN EXPERTS LLC,100
Jackson Automotive Resources,40
"Jacob Law Group, PLLC",91.039999999999992
Jacobs Arbitration And Associates Inc.,0
"Jacobs, Marsh LLC",55.559999999999995
"James E. Albertelli, P.A., a Florida professional association",100
"James W. Crocker, PC",100
Jana Ferrell & Associates LLC,97.3
"January Technologies, Inc",97.83
"Jason A Craig, PC",89.47
"Jason Michael Katz, P.C.",60
"Javitch, Block & Rathbone LLC",100
Jefferson Title Corporation,0
"Jeffrey G. Lerman, P.C.",45.45
"Jeffrey R. Lankenau, Attorney at Law",0
Jemcap LLC,0
Jenka Group Inc,66.67
"Jenkins, Wagnon & Young, P.C.",100
"Jensen & Sullivan, LLC",100
Jeremy Doppelt Realty Management LLC Defined Benefit Plan,0
"Jerold Kaplan Law Office, P.C.",91.67
"Jersey Mortgage Company of New Jersey, Inc.",100
Jet Cash Funding Inc.,100
Jet Direct Funding Corp,100
Jet Lending Inc.,0
"Jim Bottin Enterprises, Inc",92.38
"John C. Bonewicz, P.C.",95
John C. Compton PC,100
"John C. Heath, Attorney at Law, PLLC",99.81
"John F. Hayter, Attorney At Law, P.A.",50
Johnson Mark LLC,96.05
"Johnson, Blumberg & Associates, LLC",83.33
"Johnstown Credit Bureau, Inc.",100
"Jomax, LLC",0
"Jon B. Sage, P.A. dba Sage Law Offices",100
"Jon Barry and Associates, Inc.",99.83
"Jon D. Curtis, Attorney at Law",100
"Jonathan C. Frank & Associates, LLC",20
"Jonathan Neil & Associates, Inc",80.85
"Jones & Walden, LLC",100
"Jones Law Group, LLC",100
"Jones, Robin & Robin, P.C.",100
"Jonsue, LLC",100
"Jormandy, LLC",100
"Joseph M. Tobin, PC",100
Julem Capital Corp,50
Jupiter PreOwned Sales LLC,100
Justice Finance Company,90.32
Jvs group,100
Jzanus Ltd.,0
K & B Capital Corp,100
K A P S & CO (USA) LLC,83.33
K Rockford LLC,100
"K STREET FINANCE, INC.",87.5
"K. HOVNANIAN AMERICAN MORTGAGE, LLC",82.61
"K2 Lending, Inc.",100
"KAHRS LAW OFFICES, PA",100
"KAITER ENTERPRISES, INC, DBA COLORADO LENDING GROUP",100
"KBHS Home Loans, LLC",95.45
KBR INC DBA RASH CURTIS & ASSOCIATES,85.71
"KELLER,GRIMALDI AND ASSOCIATES",100
KENT MORTGAGE CORPORATION,100
KEYCORP,99.63
KEYSTONE EQUIPMENT FINANCE CORP.,100
KGW CORPORATION,0
"KILOWATT FINANCIAL, LLC, A SPRUCE FINANCE COMPANY",88.89
KIRKSTON MORTGAGE LENDING LLC,50
KITTREDGE MORTGAGE CORPORATION,0
"KLS Financial Services, Inc",56.96
"KMT Group, LLC",100
KP ASSET CONSULTING LLC,81.820000000000007
"KRW Associates, LLC",16.669999999999998
KSP Global Inc.,100
KWIK MORTGAGE CORPORATION,66.67
"Kabompo Holdings, Ltd.",100
Kadent Corporation,28.57
"Kahn, Dees, Donovan & Kahn, LLP",100
Kaiter Enterprises Inc.,0
"Kaman & Cusimano, LLC",60
"Kansas Counselors, Inc.",99.460000000000008
Kashable LLC,100
Kashia Services,76.559999999999988
Kason Credit Corporation,100
"Kass Shuler, P.A.",100
Kauntey Mediation Services LLC,40
"Keaveney Legal Group, LLC",20
Keeping Capital LLC,100
"Kehoe Financial Group, LLC",100
"Keith A. Ringelspaugh, P.A.",100
"Keith D. Weiner & Associates Co., L.P.A.",88.64
Kelly Harvey P.C.,100
"Kelsting Group, Inc.",97.67
"Kendris, LLC",100
"Kenneth E. Davidson, Attorney",100
"Kenneth, Eisen & Associates, Ltd.",87.18
Kentucky Higher Education Assistance Authority,87.88
Kentucky Housing Corporation,88
Kevin A. Stevens,50
Kevin B. Wilson Law Offices,73.33
"Key 2 Recovery, Inc.",98.8
"Key Management Company of Missouri, LLC.",100
Key Mortgage Services,100
"Key Star Capital, LLC",100
"Key, Greer, Harrison & Casey",100
KeyBridge Medical Revenue Management,96.8
"KeyStone Financial ,LLC",100
Keyhole Financial Services,0
"Keynote Consulting, Inc.",93.410000000000011
"Keypoint Mortgage, LLC",100
Keys Auto Finance Inc,100
Keystone Credit Collections Inc.,13.33
Keystone Credit Services LLC,100
"Keystone Funding, Inc.",100
Keystone Law LLC,100
"Keystone Lending Alliance, LLC",100
Keystone Mortgage Group LLC,100
Khoury Alternative Claims Management,61.539999999999992
"Kiavi, Inc.",100
Kikoff Inc.,100
"Kimball, Tirey & St. John LLP",97.72
"Kind Holdings, LLC",100
Kings Credit Services,98.59
Kingston Data & Credit International Inc.,98.17
"Kingston Financial, LLC",18.18
Kingston Mediation Services,40
"Kinum, Inc., Indianapolis, IN Branch",100
Kirk Law Group PLLC dba Kirk Law,100
Kirkland Asset Management LLC,72.22
Kirkland Financial LLC,100
"Kirschbaum, Nanney, Keenan & Griffin, P.A.",100
Kirschenbaum & Phillips P.C,98.99
Kitch Acceptance Corp.,100
"Kivell, Rayment and Francis, P.C.",66.67
Klarna AB,86.009999999999991
"Klima, Peters & Daly, P.A.",98.36
Kna Global Enterprises Inc,100
"Knight & Hooper, PLLC",90
Knight Adjustment Bureau,100
Kohn Law Firm S.C.,97.27
"Kolter Financial Services, LLC",100
"Komyatte & Casbon, P.C.",95.45
"Korn Law Firm, P.A.",75
Koster's Cash Loans,100
"Kostka and Associates, LLC",100
"Kovach Law Firm, PLLC",50
"Kovitz Shifrin Nesbit, A Professional Corporation",0
Kovo,100
"Kramer & Frank, P.C.",95.740000000000009
"Krawczyk, Duginski & Rohr, S.C.",100
"Kross, Lieberman & Stone, Inc.",44.62
"Kuber Financial, LLC",100
Kubota North America Corporation,100
"Kwest Mortgage Group,  LLC",100
"Kwikcash, Inc.",100
"Kyle Law Group, P.C.",0
L. Blake Morris,33.33
L.B.Gray LLC A Debt Collection Agency,100
"LA Financial Services, Inc.",100
"LAFOURCHE MORTGAGE & LOAN, INC.",100
LAGO Funding Corp.,100
LAKE MICHIGAN CREDIT UNION,100
LAKE MORTGAGE COMPANY INC.,100
"LAKEVIEW LOAN SERVICING, LLC",99.03
LAND HOME FINANCIAL SERVICES,97.350000000000009
"LANDMARK ACCOUNTS, INC",100
"LANDMARK MORTGAGE OF TAMPA BAY, INC",100
LANIER COLLECTIONS AGENCY AND SERVICES INC,98.42
LAW OFFICE OF HALL AND ASSOCIATES,100
LAW OFFICE OF JOHN E. LINDNER P.A.,75
LAW OFFICES OF MICHAEL K. SIPES,66.67
"LAW OFFICES OF RANDALL L. PRATT, P.C.",50
"LAW OFFICES OF ROBERT S. PERRY, P.C.",100
LAW OFFICES OF STEPHEN A. BROWN,0
"LAWGIX LAWYERS, LLC",100
"LCJ Consultants, LLC.",0
"LCO Financial Services, LLC",98.15
LCS FINANCIAL SERVICES CORPORATION,98
"LD Holdings Group, LLC",98.47
"LD Settlement Services, LLC",100
"LDF Holdings, LLC",95.35
LEADER ONE FINANCIAL CORPORATION,86.21
"LEIJA ENTERPRISES, INC.",100
"LENCO FINANCE OF CARENCRO, INC",100
LENDER LIVE,97.54
"LENDING COMPANY, INC., THE",20
LEVEL 4 FUNDING LLC,100
LEXINGTON LAW FIRM,0
LEXISNEXIS,99.58
LEXUS FINANCIAL SERVICES,0
LHM Financial,50
LHR Inc.,18.33
"LICTY, INC.",57.14
LIGHTHOUSE MORTGAGE COMPANY INC,0
"LIMESTONE TITLE AND ESCROW, LLC",0
LINCOLN MORTGAGE COMPANY,25
LJ Ross Associates,99.72999999999999
"LK Manley, Inc",0
"LKN Capital Mortgage, Inc.",100
"LL Capital Partners II, L.P.",100
LL Services Parent LLC,100
"LLOYD'S PLAN, INC.",83.33
"LMS Services, Inc.",0
LN CAPITAL CORP.,0
LOAN SERVICING GROUP,20
LOAN SIMPLE INC.,100
LOAN TO LEARN,100
LOBEL FINANCIAL CORPORATION,96.789999999999992
"LOGICOLL, LLC",100
"LPH, Inc.",100
"LPI-IV, LLC dba American Foreclosure Prevention",100
LPSG,100
"LTD Financial Services, L.P.",93.37
"LUCKY MONEY, INC.",100
"LUKE, JOHNSON & LEWIS LLC",100
"LUMINATE HOME LOANS, INC",66.67
LYON SERVICES CORPORATION,100
"LYONS MORTGAGE SERVICES, INC.",66.67
La Casa Bonita Investments,12.5
Lac Courte Oreilles Financial Services II,100
Lacy Katzen LLP,66.67
"Ladera Lending, Inc",42.11
"Ladera Ranch Home Loans, Inc.",100
Lafayette General Medical Center,0
"Lafayette, Ayers & Whitlock, PLC",100
"Lake Area Collections, LLC",70.59
Lake City Credit,80.56
Lakeland Recovery Solutions,100
Lakeland West Capital LLC,50
Lakeside Receivables LLC,100
Lakeside Recovery Solutions,4.55
Lakeside Title Company,0
Lakeview Mortgage Bankers Corp.,100
Lakeview Mortgage Inc.,100
"Lamont, Hanley & Associates, Inc.",95.83
"Land Closing Services, Inc.",100
"Land Title Guarantee Company, a Colorado corporation",100
Landed Home Loans LLC,100
Landis Law,0
"Landlord Rent Collections, LLC (Closed)",100
Landmark Mortgage LLC,50
"Lang, Richert & Patch",40
Lannister Law Corporation,0
"Lansing Professional Business Bureau,Inc",100
Larry H. Miller Group of Companies,100
"Larsen & Associates, P.L.",28.57
"Larsen MacColl Partners II, L.P.",85.71
"Latham, Wagner, Steele & Lehman, P.C.",50
Laurens Financial Services Inc,100
Law Firm of Karl Frankovitch,66.67
"Law Firm of Katz and Associates, PLLC",100
Law Office Of Phillip G. Krueger,0
Law Office Of Steven D. Silverstein,0
Law Office of Alisa Richman,100
Law Office of Anthony C. Onwuanibe,100
"Law Office of Brett M. Borland, P.C.",100
Law Office of Charles G. McCarthy Jr. & Assoc.,63.639999999999993
"Law Office of Cynthia Hitt Kent, LLC",100
"Law Office of David A. Bader, LLC",100
Law Office of David A. Fernandez,100
Law Office of Harris & Zide,85.960000000000008
Law Office of Henry L. Robertson PLLC,100
Law Office of J.A. Cambece,85.71
"Law Office of James R. Vaughan, P.C.",88.89
"Law Office of Joe Pezzuto, LLC",96.3
Law Office of Linda Strumpf,100
"Law Office of Mark L. Nichter, PC",0
Law Office of Marsha D. Holzhauer P.C.,100
"Law Office of Michael J. Scott, PC",98.33
Law Office of Michael R Naughton,100
Law Office of Monica Guilarte LLC,100
Law Office of R. Gary Shapley,100
Law Office of Ralph C. Lorigo,100
Law Office of Ralph L. Sims,100
Law Office of Regent and Associates,30
"Law Office of Rory W. Clark, APLC",78.95
Law Office of Stephen P. Lamb,100
Law Office of Steven A. Booska,87.5
"Law Offices Howard Lee Schiff, P.C.",98.81
Law Offices of Alan J. Waintraub PLLC,0
Law Offices of Alan Mege,100
Law Offices of Benjamin Woo,100
Law Offices of Brian P. Kowal PA,50
"Law Offices of Crystal Moroney, P.C.",100
Law Offices of Donald R Conrad P.C.,40
"Law Offices of Ed Overcash, LLC",100
"Law Offices of Erik Graeff, PC",0
Law Offices of Frank J. Maier & Associates,0
Law Offices of Gary H. Kreppel P.C.,100
Law Offices of Goldberg & Oriel,71.43
Law Offices of Goldsmith & Hull A.P.C.,66.67
"Law Offices of Hayt, Hayt & Landau, LLC",100
Law Offices of Jeffrey Nadel,100
"Law Offices of Krista L. White & Associates, P.S.",57.14
Law Offices of Lawrence P. Zamzok,0
Law Offices of Les Zieve,82.86
"Law Offices of Marvin S. C. Dang, LLC",96.67
"Law Offices of Matthew Baysinger, Inc.",100
Law Offices of Michael Lupolover,66.67
"Law Offices of Nathan Lollis, LLC",0
"Law Offices of Palmer, Reifler & Associates, P.A.",80
"Law Offices of Paul L. Marks, P.L.L.C",100
Law Offices of Philip H. Monagan,100
"Law Offices of Phillip B. Ochs, Esq.",100
"Law Offices of Richard J. Manning, Jr.",100
"Law Offices of Robert A. Schuerger Co., LPA",94.34
"Law Offices of Robert J. Colclough, III",72.81
"Law Offices of Robert S. Gitmeid & Associates, PLLC",100
"Law Offices of Ross Gelfand, LLC",62.5
Law Offices of Sarah A Ponath LLC,100
"Law Offices of Snyder & Associates, LLC",0
Law Offices of Stage & Associates PA,100
"Law Offices of Thomas B. Peterman, P.A.",0
"Law Offices of Timothy E. Baxter & Associates, P.C.",91.3
Law Offices of Timothy M. Sullivan,100
Law Offices of Vincent J. Buzek,33.33
Law offices of Steven Cohen LLC,88.89
"Lawrence A. Patish, P.C.",100
Lawson Hamilton & Associates,100
"Lawyers Title of Cincinnati, Inc.",100
Layfayette Funding,100
"Lazarus Financial Group, Inc.(Closed)",50
Lazega & Johanson LLC,100
"LeVasseur Dyer & Associates, PC",100
Leaders Financial Company,80.95
"Leading Edge Recovery Solutions, LLC",93.15
"Leading Edge Solutions, LLC",0
Leading Mortgage Solutions,50
"Leap Credit, LLC",95.65
"Lee Petersen, Attorney",100
"Leedom Management Group, Inc.",100
"Lefkoff, Rubin, Gleason & Russo, P.C.",83.33
"Lefkoff, Rubin, Gleason, Russo & Williams, P.C.",100
Legacy Credits,0
"Legacy Customer Management Group, LLC",33.33
Legacy Funding Corporation,71.43
Legacy Title Service,100
Legal Action Bureau Inc,45.45
Legal Alliance Network,100
"Legal Prevention Services, LLC.",96.67
"Legal Recovery Law Offices, Inc",61.22
Legal Recovery Specialists LLC,0
Leif Technologies Inc.,100
Lela Mae Portfolio Management Group,100
"Lend Smart Mortgage, LLC",100
"Lend You Cash, Inc",66.67
"LendKey Technologies, Inc.",94.51
"LendUS, LLC",85.71
LendUp Loans LLC,97.47
Lendbuzz Inc.,100
"Lenderfi, Inc.",72.22
Lenders Valuation Services,100
"Lendgo, Inc.",66.67
Lending Club Corp,89.17
"Lending Force, LLC",100
"Lending Hand Mortgage, LLC",50
Lending Solutions Mortgage/ LSI Mortgage,86.11
LendingPoint Holdings LLC,95.09
LendingUSA,93.58
Lendmark Financial Services,99.74
"Lendmart, LLC",0
"Lendsmart, Inc.",100
Lenmo Inc,60
"Lennar Financial Services, LLC",98.31
Lenox Financial Mortgage Corporation,40
"Lentegrity Management, LLC",100
Leon Financial Services,0
"Leopold & Associates, LLC",100
Leverage Lending Group LLC,100
Levon Gukasyan DBA Garman Financial,100
"Levy & Associates, LLC",96.43
"Levy Diamond Bello & Associates, LLC",0
Lewis & Clark Capital LLC,100
"Lewis, McDonnell & Associates",79.09
"Lewisfin.com, LLC",100
Lexicon Title Services LLC,100
"Lexington Consumer Advocacy, LLC",30
Lexington Mortgage Corporation,100
Liberal Finance Service,100
"Liberate Debt, Inc. 9156",100
Liberty Capital Services LLC,100
"Liberty Career Finance, LLC",100
"Liberty Credit Services, Inc.",30
"Liberty Finance Co., Inc.",100
"Liberty Holdings, LLC",53.7
"Liberty Home Equity Solutions, Inc.",94.44
Liberty Home Mortgage Corporation,100
Liberty Loan Co inc.,75
Liberty SBF,100
Lien Enforcement Inc,88.75
Lien Receivables LLC,100
"Life Line Billing Systems, LLC",66.67
"LifeTree Lending, LLC.",100
Lighthouse Acceptance Corporation,100
Lighthouse Finance Solutions LLC,80
"Lighthouse Realty & Mortgage, Inc",100
Lightning Fast Finance,100
"Lightspeed Mortgage, Inc.",0
"Lil' Wave Financial, Inc.",100
"Lima One Capital, LLC",52.38
"Limetree Lending, Inc.",100
Lincoln Educational Services Corporation,99.09
Lincoln Financial Services,75
"Linear Title & Closing, Ltd",66.67
Linebarger Goggan Blair & Sampson LLP,99.429999999999993
"Link Revenue Resources, LLC",50
Lionstone Holdings Group,64.710000000000008
"Lipsey, Morrison, Waller & Lipsey, P.C.",100
"Lipsky & Associates, Inc",100
"Live Well Financial, Inc.",77.78
"Livingston Financial, LLC",88.89
"Lloyd & McDaniel, PLC",98.97
Lo Inc. DBA Reliance Mortgage,100
Loan Cabin Inc.,77.78
Loan Park (Loanpark Mortgage Lending),100
"Loan Science, LLC",94.740000000000009
"Loan South Finance & Tax Service of Troy, LLC",80
"LoanCare, LLC",99.350000000000009
"LoanFlight Lending, LLC",100
"LoanHero, Inc",14.29
"LoanLeaders of America, Inc.",100
"LoanMe, Inc.",0
"LoanNow, LLC  (Closed)",100
"LoanSnap, Inc.",85.71
LoanStar Home Lending,50
"LoanUnited.com, LLC",76.47
"Loanatik, L.L.C.",100
Loancare Auto Finance,100
"Loandrone, Inc.",100
Loansmart Inc.,100
Loantopia,50
"Local Data Recovery, LLC",0
"Local Management, LLC",62.07
Locate Services LLC,66.67
"Locate Source America, LLC",60
"Location Services Holdings, LLC",90.91
Lockhart Mediation Services,100
"Lockhart, Morris & Montgomery Inc.",95.7
"Lofstrom Law Firm, LLC",100
Logan View LLC,83.33
Lon Inc.,100
London & London,93.33
Lone Star Credit Co. Inc,100
"Long & Foster Financial Services, Inc.",82.98
"Longbridge Financial, LLC",96.55
Loqbox US Inc,100
Lori J. Frank PC,100
"Los Angeles Collection Service, Inc.",66.67
"Lota Financial Group, Inc.",100
"Lotane & Associates, P.A.",92.31
Lou Harris Company,100
Lou Spear & Associates,0
"Lou Spivack, P.C.",33.33
Louis M. Turchiarelli Attorney at Law,0
Louisiana Bureau of Credit Control Inc.,77.78
Louisiana Recovery Services Inc.,98.18
"Love, Beal & Nixon, P.C.",94.78
Lowcountry Credit Inc.,100
"Lowther Johnson Attorneys at Law, LLC",33.33
"Lucie R. Bernheim, Attorney at Law",100
"Lucie, Scalf, Sutton & Bougher, Attorney At Law",100
Luckmore Finance,95.45
"Lugano Capital, Inc. d/b/a Start Auto Finance",100
Luna Financial LLC,100
"Luper Neidenthal & Logan, A Legal Professional Association",100
"Lustig, Glaser & Wilson, P.C.",93.179999999999993
"Lynx Asset Services, LLC",96.3
Lynx Whole Loan Acquisition LLC,100
"Lyons Law Office, LLC",0
"Lyons, Doughty & Veldhuis, PC",100
"M & S FUNDING, INC.",50
M H Loans Corporation,100
M Squared Financial LLC,100
M&S Recovery Solutions,92
M&T BANK CORPORATION,99.31
"M. G. Credit, Inc.",100
"M. Richard Epps, P.C.",100
"M.A.R.S., Inc.",99.22
M.L. Zager P.C.,100
"M/I Homes, Inc.",100
M2 Law Group PC,66.67
"M3 Financial Services, Inc.",50
"M3 Mortgage Specialists, Inc",0
"MAC5 Mortgage, Inc.",100
"MACOY CAPITAL PARTNERS, INC.",100
"MAGGUILLI LAW FIRM, PLLC",60
MAJR Financial Corp,96.26
"MAKENNA KALI & ASSOCIATES, INCORPORATED",50
MANN FINANCIAL INC.,70
"MARINER FINANCE, LLC",99.91
MARQUEE MORTGAGE,0
"MARSH ASSOCIATES, INC.",50
"MAS Associates, LLC",100
"MAS Financial Services, Inc.",71.11
MASON MCDUFFIE MORTGAGE CORPORATION,100
"MB FINANCIAL, INC.",79.19
MBA Mortgage Services Inc.,100
"MBM Collections, LLC",0
MBO Holdings Corp.,100
"MCCABE, TROTTER & BEVERLY, PC",100
"MCCUE MORTGAGE COMPANY, THE",95.240000000000009
"MCGLONE MORTGAGE COMPANY, INC.",0
MCI Mortgage Inc,100
MCLEAN MORTGAGE CORPORATION,90.48
MCMC Auto LTD,95.240000000000009
"MCS MORTGAGE BANKERS, INC.",76.92
"MCU Holdings, LLC",100
"MDE Home Loans, LLC",50
MECHANICS BANK,100
MEDALLION MORTGAGE COMPANY,20
"MEDCAH, Inc.",70.37
"MEDICAL BUSINESS CONSULTANTS, INC",64.29
MEGA CAPITAL FUNDING INC.,100
MEGASTAR FINANCIAL CORP,80
MEI AUTO FINANCE INC,91.89
MEMA CORP,66.67
"MEMBER FIRST MORTGAGE, LLC",100
MEMBER MORTGAGE SERVICES,83.33
"MEMBERS MORTGAGE COMPANY, INC.",100
"MERCANTILE ADJUSTMENT BUREAU, LLC",100
"MERCHANTS ADJUSTMENT SERVICE, INC.",98.740000000000009
"MERFICAP, LLC",100
METRO ISLAND MORTGAGE INC.,100
"MFG Financial, Inc.",100
"MFP, inc.",46.150000000000006
"MIB Group, Inc.",96.2
MID-ISLAND MORTGAGE CORP.,94.740000000000009
MIDCOUNTRY FINANCIAL CORP,97.740000000000009
MIDFIRST BANK,99.9
"MIDWEST EQUITY MORTGAGE, LLC",90
"MILEND, INC.",90.91
MILLENIUM HOME MORTGAGE LLC,75
"MILLENNIUM FINANCIAL GROUP, L.L.C.",88.37
MILLS LTD. dba Credit Bureau of Klamath County,100
"MINISTRY BRANDS, LLC",50
"MINNESOTA LIFE INSURANCE CO., THE",90.7
"MJ Altman Companies, Inc.",94.55
"ML Credit Holdings, LLC",100
ML Mortgage Corp.,100
"MLB Residential Lending, LLC",100
MLD MORTGAGE INC,74.47
"MLH Financial Services, Inc.",0
"MM Finance, LLC, Bellevue, NE Branch",75
"MM RV JV 1, LLC",100
"MMMM Holdings, LLC",100
"MNE Services, Inc",80.2
MNS & Associates LLC,65.31
MODERN FINANCE COMPANY,100
MOHELA,98.070000000000007
"MONEY SOURCE, THE",99.050000000000011
MONEYGRAM PAYMENT SYSTEMS WORLDWIDE INC,99.58
MORGAN STANLEY & CO. LLC,96.289999999999992
"MORTAGE WAREHOUSE LLC, THE",100
MORTGAGE 1 INCORPORATION,100
MORTGAGE 4 U LLC,100
"MORTGAGE AMERICA, INC",100
"MORTGAGE CAPITAL ASSOCIATES, INC.",93.75
"MORTGAGE CENTER, LC",96.88
MORTGAGE CLEARING CORPORATION,100
MORTGAGE CORPORATION OF THE SOUTH,66.67
MORTGAGE COUNSELING CENTER,0
"MORTGAGE EXPRESS, LLC",66.67
MORTGAGE FINANCIAL SERVICES,100
"MORTGAGE FINANCIAL SERVICES, INC",100
"MORTGAGE FIRM, INC., THE",94.740000000000009
MORTGAGE INVESTORS CORPORATION,78.08
MORTGAGE INVESTORS GROUP,90
MORTGAGE LENDERS OF AMERICA,83.33
"MORTGAGE LINK, INC., THE",100
MORTGAGE MASTER SERVICE CORPORATION,0
MORTGAGE SOLUTIONS OF COLORADO,88.89
"MORTGAGE UNLIMITED, LLC",80
"MORTGAGES UNLIMITED, INC.",100
MOTORS FINANCIAL ACCEPTANCE CORPORATION,100
MOUNTAIN AMERICA FEDERAL CREDIT UNION,99.2
"MOUNTAIN WEST FINANCIAL, INC.",94.289999999999992
"MPOWER Financing, Public Benefit Corporation",100
"MRS BPO, LLC",100
MRS Collections LLC,100
MS SERVICES LLC,97.2
"MSCB, Inc.",100
"MST Financial Services, L.L.C.",98.88
MSV RECOVERY LLC,0
"MSW Capital, LLC",90
MTACC Inc.,33.33
"MTAG Services, LLC",100
MTH LENDING GROUP LP,100
MUFG AMERICAS HOLDINGS CORPORATION,100
"MUFG UNION BANK, NATIONAL ASSOCIATION",99.22999999999999
"MUSA Holdings, LLC",25
"MUTUAL OF OMAHA MORTGAGE, LLC",100
"MVBA, L.L.C.",35.29
MWS Financial Services LLC,0
"MacDowell & Associates, Ltd.",98.460000000000008
"Machol & Johannes, LLC",92
Madison Avenue Associates,0
"Madison Management Services, LLC",88.89
Mages & Price LLC,71.43
Magnum Association Services,100
"Magnus Title Agency, LLC",0
Mahomes Capital,100
Main Resolution Group,100
"Main Street Holdings, Inc.",100
Main Street Personal Finance,54.35
Maitland Capital Funding,100
"Majority USA, LLC",100
Makower Abbate Guerra Wegner Vollmer PLLC,100
Malacko Law Office,100
"Malcolm S. Gerald and Associates, Inc.",68.49
"Malen & Associates, p.c.",92
"Mammoth Tech, Inc.",0
Man-Data Inc.,8.33
"Managed Recovery Systems, Inc.",85.71
"Management Core Solutions, Inc.",50
"Mandarich Law Group, LLP",99.17
"Manhattan Beach Venture, LLC",20
"Manhattan Financial Group, Inc.",100
Mankin Law Group,33.33
Manley Deas & Kochalski LLC,100
"Mann & Carducci Co., LPA",100
"Manor Resources, LLC",36.36
Manufacturers Acceptance Corp.,100
Maple Finance Company,100
"Mapother & Mapother, PSC",100
Mar Joe Enterprises,92.56
Marauder Corporation,21.740000000000002
Marcadis Singer PA,100
"March Motors, Inc.",100
Marel Consultants Inc,50
Marine One Acceptance Corporation,100
"MarineMax East, Inc.",100
"Mark A. Kirkorsky, PC",75.86
Mark A. Leachman P.C.,100
"Mark Sank & Associates, LLC",100
"MarkOne Holdings, LLC",42
"Market Mortgage Company, LTD",33.33
Market Place Mortgage Corp.,80
Markoff Law LLC,96
"Marlette Funding, LLC",92.490000000000009
"Martell & Ozim, PA",100
"Martin & Seibert, L.C.",0
Martin Lake Law Office,100
"Marvel & Maloney, P.C.",100
"Mary Jane M. Elliott, P.C. Attorneys At Law",100
"Mary Mae Financial, LLC",100
"Maryland Mutual Mortgage, LLC",50
Maryville Collection Service Incorporated,0
"Mason, Schilling & Mason Co., LPA",100
Massachusetts Educational Financing Authority,97.28
Massachusetts Housing Finance Agency (MassHousing),81.47999999999999
Master Finance Company,75
Master Finance Corporation,0
"Mathes Management Enterprises, Inc.",100
Mathew Aaron Holdings Inc.,100
Matthew Thomas & Associates LLC,50
"Maui Collection Service, Inc.",33.33
"Maury Cobb, Attorney at Law, LLC",100
"Maven Asset Management, Inc.",100
"Maxim Lending, Corp",100
"Maximum Title Loans, LLC",61.539999999999992
"Maximus Education, LLC dba Aidvantage",100
Maxitransfers LLC,100
"Mayan, LLC",83.33
"McCalla Raymer Leibert Pierce, LLC",44.03
McCallin Law Offices,100
"McCarthy & Holthus, LLP",100
"McCarthy, Burgess & Wolff, Inc.",99.8
"McCullough Payne & Haan, LLC",82.35
McGlinchey Stafford PLLC,50
"McKellar & Associates Group, Inc.",94.12
McKenzie Management LLC,0
McKenzie Paul & Associates,85
"McManamy, McLeod, Heller, LLC",100
McMichael Taylor Gray LLC,100
"McNeil & Meyers Asset Management Group, LLC",91.11
"Mcburberod Financial, Inc. d/b/a SeedFi",96.3
"Meade & Associates, Inc.",87.85
