company_name,timely_response,count
Advantage Finance LLC,true,1
Advantage Financial Service LLC (Idaho),false,3
Advantage Financial Service LLC (Idaho),true,33
"Advantage Financial Services of Covington, LLC",false,1
"Advantage Financial Services, LLC",true,4
"Advantage Financial Services, LLC",false,1
"Advantage One Credit, LLC",false,21
"Advantage Plus Credit Reporting, Inc.",true,1
"Advantage Recovery Group, Inc",true,2
AdvantageFirst Lending Inc.,true,4
"Advent Financial Systems, LLC",true,2
Advise Solutions Services LLC,false,1
Advise Solutions Services LLC,true,6
"Advocates Professional Services, Inc.",true,2
"Aequitas Capital Opportunities Fund, LP",false,1
"Aequitas Capital Opportunities Fund, LP",true,10
"Affiliate Asset Solutions, LLC",true,156
Affiliated Acceptance Corporation,true,51
Affiliated Acceptance Corporation,false,2
"Affiliated Collection Services, LLC",false,6
"Affiliated Collection Services, LLC",true,32
"Affiliated Creditors, Inc.",true,16
"Affiliated Creditors, Inc.",false,9
Affiliated Management Services,false,6
Affiliated Management Services,true,33
Affiliates Management Company,true,8
Affiliates Management Company,false,12
"Affinity Mortgage, L.L.C.",true,1
"Affirm Holdings, Inc",false,6
"Affirm Holdings, Inc",true,1708
Affordable Financial Solutions,true,2
Affordable Interest Mortgage,false,1
"Afterpay US Services, LLC",true,23
Agency of Credit Control,true,50
Agency of Credit Control,false,4
Aiden & Bodley  Enterprise,true,1
Airtm Inc.,true,5
Alabama Housing Finance Authority,false,59
Alabama Housing Finance Authority,true,78
Alacrity Collections Corporation,true,4
Alamo Premier Mortgage Group Inc,true,2
"Alaska Cascade Financial Services, Inc.",true,1
"Alaska Cascade Financial Services, Inc.",false,3
"Alavi Law, PLLC",false,1
Albert Corporation,true,180
"Albert E. Acuna, P.A.",false,1
"Albert E. Acuna, P.A.",true,1
Albuquerque Auto Outlet,true,2
"Alco Capital Group, LLC",true,3
"Alco Capital Group, LLC",false,1
"Alco Collections, Inc.",true,28
"Alco Collections, Inc.",false,6
"Aldous & Associates, PLLC",false,72
"Aldous & Associates, PLLC",true,718
"Aldridge Pite Haan, LLP",true,99
"Aldridge Pite, LLP",true,140
Alegria Auto Sales,true,1
"Alessi & Koenig, LLC",false,6
"Alisa Katz Campbell, P.C.",true,2
"Alisa Katz Campbell, P.C.",false,1
"All American Check Cashing, Inc.",true,10
"All American Check Cashing, Inc.",false,10
"All American Title Co., Inc",true,2
"All Credit Considered Mortgage, Inc.",true,7
All Debt Solutions Inc. dba: 1st Class Agency,true,23
"All Home Lending, Inc.",true,2
"All Kind Check Cashing, Inc.",false,2
"All Reverse Mortgage, Inc.",true,3
"All State Credit Bureau, Inc.",true,107
Allarin Professional Group LLC,false,1
Allarin Professional Group LLC,true,1
"Allegiance Accounting Services, LLC",false,18
Allegiant Capital Recovery LLC,true,27
Allegiant Capital Recovery LLC,false,5
"Allegiant Receivables Solutions, Inc",true,3
Allen & Withrow,false,1
Allen & Withrow,true,16
Allen Tate Mortgage Services,false,5
Allen Tate Mortgage Services,true,3
Alleviate Financial LLC,true,1
"Allgate Financial, LLC",true,81
"Allgate Financial, LLC",false,1
Alliance Acceptance Corp.,true,1
"Alliance Asset Management, Inc (Closed)",true,25
"Alliance Asset Management, Inc (Closed)",false,3
"Alliance CAS, LLC",false,2
"Alliance CAS, LLC",true,22
"Alliance Collection Agencies, Inc.",true,154
Alliance Collection Service,true,22
"Alliance Credit Counseling, Inc.",true,1
"Alliance Credit Services, Inc.",true,4
Alliance Group & Associates LLC,true,19
Alliance Group & Associates LLC,false,16
"Alliance One, Inc.",true,726
"Alliance One, Inc.",false,6
Alliance Recovery Group,false,41
Alliant Capital Management LLC,false,1
Alliant Capital Management LLC,true,245
"Allied Account Services, Inc.",true,44
Allied California,false,1
"Allied Collection Service, Inc. (Indiana)",true,19
"Allied Collection Services, Inc. (Nevada)",false,18
"Allied Collection Services, Inc. (Nevada)",true,636
Allied Consulting Services LLC,true,5
Allied Credit Consultants,false,7
Allied Data Corporation,false,4
Allied Data Corporation,true,3
"Allied Fidelity Services, LLC",true,5
Allied Financial Group & Associates (Closed),false,10
Allied Financial Group & Associates (Closed),true,10
"Allied International Credit Corp., (US)",true,211
"Allied Recovery Solutions, Inc.",true,7
Allied Servicing Corporation,false,1
Allied Servicing Corporation,true,16
Alorica Inc.,true,890
Alorica Inc.,false,48
"Alpha Mortgage, LLC",true,1
Alpha Recovery Corp,true,226
Alpha Recovery Corp,false,19
"Alpha Title, LLC",false,1
"Alpine Capital Investments, LLC",true,1
"Alpine Credit, Inc",false,20
"Alpine Credit, Inc",true,90
"Alpine Financial Solutions, Inc.",true,1
"Alpine Financial Solutions, Inc.",false,6
"Alpine Mortgage Services, LLC",true,2
Alternative Collections LLC,true,11
Alternative Collections LLC,false,2
"Alternative Finance Company, LLC",false,1
"Alternative Finance Company, LLC",true,1
Alternative Resource Services Inc,true,1
"Alternative Revenue Systems, Inc",true,1
"Alternative Revenue Systems, Inc",false,3
"Altisource Portfolio Solutions, S.à r.l.",false,2
"Altisource Portfolio Solutions, S.à r.l.",true,335
Altitude Community Law P.C.,true,16
"Alum Financial, LLC",false,15
Alvamar Financial,false,3
AmNet ESOP Corporation,true,4
AmOne Corp.,false,3
AmOne Corp.,true,3
AmWest Funding Corp.,true,19
Amati & Associates LLC,false,3
"Ambassador Mortgage, LLC",true,3
